CustomerId,Recency,Frequency,Monetary,Cluster,is_high_risk,avg_hour,avg_day_of_week,weekend_rate,transaction_month,std_amount,max_amount,min_amount,log_monetary,reversal_rate,unique_products,unique_providers,avg_daily_transactions,monetary_per_transaction,negative_amount_count,positive_amount_sum,velocity_last_30_days,recency_frequency_ratio
CustomerId_1,83.72,1,-10000.0,0,1,16.0,2.0,0.0,11,0.0,-10000.0,-10000.0,9.210440366976517,100.0,1,1,1.0,-10000.0,1.0,0.0,0.0,83.72
CustomerId_10,83.72,1,-10000.0,0,1,16.0,2.0,0.0,11,0.0,-10000.0,-10000.0,9.210440366976517,100.0,1,1,1.0,-10000.0,1.0,0.0,0.0,83.72
CustomerId_1001,89.07,5,20000.0,0,1,7.8,4.0,0.0,11,6558.963332722634,10000.0,-5000.0,9.90353755128617,40.0,2,3,5.0,4000.0,2.0,25200.0,0.0,17.814
CustomerId_1002,26.0,11,4225.0,2,0,13.45,2.91,0.1818,1,560.4989660196449,1500.0,-75.0,8.349011198176003,54.55,2,2,1.83,384.09,6.0,4500.0,3.0,2.3636
CustomerId_1003,11.79,6,20000.0,2,0,14.33,4.0,0.0,2,6030.478145774734,10000.0,-5000.0,9.90353755128617,33.33,2,3,6.0,3333.33,2.0,26000.0,6.0,1.965
CustomerId_1004,52.66,1,2000.0,0,1,18.0,5.0,1.0,12,0.0,2000.0,2000.0,7.601402334583733,0.0,1,1,1.0,2000.0,0.0,2000.0,0.0,52.66
CustomerId_1005,46.87,9,48800.0,0,1,10.11,4.0,0.0,12,5983.6815126178335,10000.0,-5000.0,10.795506083434564,33.33,2,3,9.0,5422.22,3.0,55000.0,0.0,5.2078
CustomerId_1006,64.11,1,1000.0,0,1,7.0,1.0,0.0,12,0.0,1000.0,1000.0,6.90875477931522,0.0,1,1,1.0,1000.0,0.0,1000.0,0.0,64.11
CustomerId_1007,81.14,1,28000.0,0,1,6.0,5.0,1.0,11,0.0,28000.0,28000.0,10.239995502805316,0.0,1,1,1.0,28000.0,0.0,28000.0,0.0,81.14
CustomerId_1008,65.87,2,20000.0,0,1,13.0,6.0,1.0,12,0.0,10000.0,10000.0,9.90353755128617,0.0,1,1,2.0,10000.0,0.0,20000.0,0.0,32.935
CustomerId_1009,27.13,1,500.0,2,0,6.0,3.0,0.0,1,0.0,500.0,500.0,6.2166061010848646,0.0,1,1,1.0,500.0,0.0,500.0,1.0,27.13
CustomerId_1010,41.55,7,26335.0,0,1,11.43,3.43,0.0,1,4971.798816946486,10000.0,-1000.0,10.178692103476797,42.86,3,3,3.5,3762.14,3.0,28000.0,0.0,5.9357
CustomerId_1012,4.75,74,124906.0,2,0,16.04,2.88,0.2568,2,3441.4863138083697,22000.0,-1100.0,11.735324739379084,43.24,2,3,2.85,1687.92,32.0,128900.0,25.0,0.0642
CustomerId_1014,50.0,8,763880.0,0,1,9.12,1.0,0.0,12,119332.84340149493,300000.0,1000.0,13.546167296854636,0.0,1,2,8.0,95485.0,0.0,763880.0,0.0,6.25
CustomerId_1016,4.63,5,20000.0,2,0,18.0,4.0,0.0,2,6745.368781616021,10000.0,-5000.0,9.90353755128617,40.0,2,3,5.0,4000.0,2.0,26000.0,5.0,0.926
CustomerId_1020,26.22,203,292195.0,2,0,11.91,3.18,0.33,1,2500.4482251946347,10000.0,-100.0,12.585180088951102,40.89,3,3,10.15,1439.38,83.0,295400.0,1.0,0.1292
CustomerId_1021,77.62,1,5000.0,0,1,19.0,1.0,0.0,11,0.0,5000.0,5000.0,8.517393171418904,0.0,1,1,1.0,5000.0,0.0,5000.0,0.0,77.62
CustomerId_1022,34.85,1,7000.0,2,0,13.0,2.0,0.0,1,0.0,7000.0,7000.0,8.853808274977197,0.0,1,1,1.0,7000.0,0.0,7000.0,0.0,34.85
CustomerId_1025,11.78,16,17200.0,2,0,15.75,3.94,0.25,2,1803.6536992079898,5000.0,-1000.0,9.75272280064639,31.25,2,3,2.67,1075.0,5.0,18500.0,16.0,0.7362
CustomerId_1027,0.6,14,26770.0,2,0,12.86,1.64,0.0,2,3484.2705418482087,10000.0,-50.0,10.195074491065121,42.86,3,3,4.67,1912.14,6.0,27000.0,14.0,0.0429
CustomerId_1028,25.03,1,500.0,2,0,9.0,5.0,1.0,1,0.0,500.0,500.0,6.2166061010848646,0.0,1,1,1.0,500.0,0.0,500.0,1.0,25.03
CustomerId_1029,7.79,9,51000.0,2,0,9.67,3.11,0.0,2,8692.669325356856,20000.0,-5000.0,10.839600519357369,22.22,3,3,1.8,5666.67,2.0,57000.0,1.0,0.8656
CustomerId_1030,30.37,8,2350.0,2,0,12.0,3.12,0.5,1,713.8614811612364,1000.0,-1000.0,7.762596048540069,50.0,2,2,2.0,293.75,4.0,3500.0,0.0,3.7962
CustomerId_1031,14.99,50,106838.8,2,0,12.4,2.46,0.04,1,4615.395748241059,23000.0,-5000.0,11.579085795264078,36.0,4,3,2.63,2136.78,18.0,123500.0,17.0,0.2998
CustomerId_1032,33.35,2,2000.0,2,0,1.0,4.0,0.0,1,0.0,1000.0,1000.0,7.601402334583733,0.0,2,1,2.0,1000.0,0.0,2000.0,0.0,16.675
CustomerId_1033,66.02,2,950.0,0,1,9.0,6.0,1.0,12,742.4621202458749,1000.0,-50.0,6.85751406254539,50.0,2,2,2.0,475.0,1.0,1000.0,0.0,33.01
CustomerId_1034,8.87,16,40508.0,2,0,10.81,2.38,0.125,2,7896.613345816885,28000.0,-5000.0,10.609279450629153,18.75,4,3,2.0,2531.75,3.0,50900.0,3.0,0.5544
CustomerId_1036,90.02,3,-50.0,0,1,9.0,3.0,0.0,11,1000.4165798972613,1000.0,-1000.0,3.9318256327243257,66.67,2,2,3.0,-16.67,2.0,1000.0,0.0,30.0067
CustomerId_1038,11.87,5,19000.0,2,0,13.0,4.0,0.0,2,6685.805860178712,10000.0,-5000.0,9.852246888342531,40.0,2,3,5.0,3800.0,2.0,25000.0,5.0,2.374
CustomerId_1039,11.73,30,248895.0,2,0,11.2,3.97,0.1,2,10395.940284387541,22050.0,-5000.0,12.42479041751542,20.0,3,4,6.0,8296.5,6.0,260000.0,12.0,0.391
CustomerId_1040,37.14,1,50000.0,0,1,6.0,0.0,0.0,1,0.0,50000.0,50000.0,10.819798284210286,0.0,1,1,1.0,50000.0,0.0,50000.0,0.0,37.14
CustomerId_1043,46.59,6,14000.0,0,1,19.0,4.0,0.0,12,6976.14984548545,10000.0,-5000.0,9.546884034617925,50.0,2,3,6.0,2333.33,3.0,25000.0,0.0,7.765
CustomerId_1044,47.99,16,21848.5,0,1,15.56,2.31,0.125,12,2064.1874064527988,6000.0,-622.0,9.991933316966715,31.25,3,4,2.67,1365.53,5.0,22683.0,0.0,2.9994
CustomerId_1048,42.1,1,1000.0,0,1,7.0,2.0,0.0,1,0.0,1000.0,1000.0,6.90875477931522,0.0,1,1,1.0,1000.0,0.0,1000.0,0.0,42.1
CustomerId_1050,53.63,1,5000.0,0,1,18.0,4.0,0.0,12,0.0,5000.0,5000.0,8.517393171418904,0.0,1,1,1.0,5000.0,0.0,5000.0,0.0,53.63
CustomerId_1052,23.19,7,56900.0,2,0,11.29,3.43,0.5714,1,18504.47822246589,50000.0,-1000.0,10.949068194652432,28.57,2,3,3.5,8128.57,2.0,58000.0,3.0,3.3129
CustomerId_1053,89.11,7,13788.0,0,1,4.86,3.29,0.0,11,1911.4446294435452,4000.0,-12.0,9.531626451841742,14.29,2,4,3.5,1969.71,1.0,13800.0,0.0,12.73
CustomerId_1054,4.64,52,159000.0,2,0,17.6,2.63,0.2115,2,6112.9647232247835,30000.0,-1000.0,11.976665770490767,40.38,2,3,2.26,3057.69,21.0,161850.0,9.0,0.0892
CustomerId_1055,81.73,5,5850.0,0,1,9.8,4.2,0.4,11,1338.6560424545207,3000.0,-100.0,8.674367865788236,40.0,2,3,1.67,1170.0,2.0,6000.0,0.0,16.346
CustomerId_1056,55.02,4,5500.0,0,1,11.5,2.5,0.25,12,1108.6778913041726,3000.0,500.0,8.612685172875459,0.0,2,3,1.0,1375.0,0.0,5500.0,0.0,13.755
CustomerId_1057,90.16,2,4504.0,0,1,6.0,3.0,0.0,11,3886.258869401265,5000.0,-496.0,8.412943170042439,50.0,2,2,2.0,2252.0,1.0,5000.0,0.0,45.08
CustomerId_1058,4.64,29,13815.0,2,0,13.72,2.97,0.3793,2,597.271917841752,2000.0,-100.0,9.533582619826515,48.28,3,3,2.23,476.38,14.0,14500.0,4.0,0.16
CustomerId_1059,11.76,9,40000.0,2,0,13.33,4.0,0.0,2,6463.573143221772,10000.0,-5000.0,10.596659732783579,33.33,2,3,4.5,4444.44,3.0,51000.0,9.0,1.3067
CustomerId_1063,1.66,12,13325.0,2,0,13.25,0.5,0.0833,2,1608.6590383033788,5000.0,-1000.0,9.497472293122483,41.67,2,3,6.0,1110.42,5.0,14500.0,12.0,0.1383
CustomerId_1064,5.52,42,191650.0,2,0,15.62,3.57,0.0238,2,6424.71627468643,20000.0,-5000.0,12.163431288640119,30.95,4,4,7.0,4563.1,13.0,223115.0,28.0,0.1314
CustomerId_1068,52.81,1,500.0,0,1,14.0,5.0,1.0,12,0.0,500.0,500.0,6.2166061010848646,0.0,1,1,1.0,500.0,0.0,500.0,0.0,52.81
CustomerId_1070,25.78,1,5000.0,2,0,15.0,4.0,0.0,1,0.0,5000.0,5000.0,8.517393171418904,0.0,1,1,1.0,5000.0,0.0,5000.0,1.0,25.78
CustomerId_1071,2.04,7,236290.0,2,0,11.29,3.57,0.5714,2,57242.85162275515,120000.0,-1610.0,12.372819375272348,42.86,3,3,2.33,33755.71,3.0,239000.0,6.0,0.2914
